id,country,location,name,lat,lng
AFKBL,AF,KBL,Kabul,34.52,69.17
AFKDH,AF,KDH,Kandahar,31.62,65.71
AFKHO,AF,KHO,Khowst,35.12,70.5
AFKHT,AF,KHT,Khost,33.33,69.92
AFKMU,AF,KMU,Kamu,35.24,71.25
AFKUR,AF,KUR,Kuran-O-Munjan,,
AFKWH,AF,KWH,Khwahan,37.88,70.21
AFKWT,AF,KWT,Khowst,33.2,69.55
AFLAG,AF,LAG,Lashkar Gah,31.35,64.21
AFLQN,AF,LQN,Qala Nau,33.8,68.93
AFMAS,AF,MAS,Mashad,,
AFMEH,AF,MEH,Mehtar Lam,34.4,70.12
AFMEY,AF,MEY,Meydan,36.54,66.55
AFMMZ,AF,MMZ,Maimana,35.92,64.78
AFMWD,AF,MWD,Maiwand,31.44,65.08
AFMZR,AF,MZR,Mazar-i-Sharif,36.42,67.06
AFORG,AF,ORG,Orgun-E Kalan,32.54,69.13
AFPEC,AF,PEC,Pol-e Charkhi,34.32,69.2
AFPSD,AF,PSD,Pasaband,33.41,64.51
AFQAM,AF,QAM,Qasim,35.02,71.32
AFQLT,AF,QLT,Qalat,32.06,66.53
AFQYN,AF,QYN,Qal'Eh-Ye Now,34.59,63.07
AFRKH,AF,RKH,Torkham,34.53,71.55
AFRMD,AF,RMD,FOB Ramrod,31.45,65.07
AFSBF,AF,SBF,Sardeh Band,,
AFSBK,AF,SBK,Spin Boldak,31,66.24
AFSDD,AF,SDD,Shindand,33.18,62.08
AFSGA,AF,SGA,Sheghnan,37.55,71.48
AFSHE,AF,SHE,Sherhan-Bandar,37.12,69.05
AFSHK,AF,SHK,FOB Shank,34,69.17
AFSRO,AF,SRO,Sharona,33.13,68.83
AFTGH,AF,TGH,Torghundi,35.24,62.28
AFTII,AF,TII,Tirinkot,,
AFTKO,AF,TKO,Tarin Kowt,32.37,65.52
AFTOW,AF,TOW,Towraghondi,35.15,62.17
AFTQN,AF,TQN,Taluqan,36.73,69.53
AFUND,AF,UND,Kunduz,36.71,68.86
AFURN,AF,URN,Urgoon,,
AFURZ,AF,URZ,Uruzgan,,
AFZAJ,AF,ZAJ,Zaranj,30.95,61.85
AFZHA,AF,ZHA,Zhari Dasht,31.38,65.31
AGANU,AG,ANU,Antigua,17.11,-61.84
AGBBQ,AG,BBQ,Barbuda,17.11,-61.84
AGFAM,AG,FAM,Falmouth,17.01,-61.47
AGPHM,AG,PHM,Parham,17.05,-61.45
AGSJO,AG,SJO,Saint John's,17.07,-61.51
AIAXA,AI,AXA,Anguilla,,
AIBLP,AI,BLP,Blowing Point,18.17,-63.09
AICRH,AI,CRH,Crocus Hill,18.13,-63.04
AIFOR,AI,FOR,The Forest,,
AIMBB,AI,MBB,Meads Bay Beach,18.1,-63.08
AIRBY,AI,RBY,Road Bay,,
AIROA,AI,ROA,The Road,,
AISOM,AI,SOM,Sombrero,18.36,-63.28
AIVAL,AI,VAL,The Valley,18.13,-63.03
AIWLL,AI,WLL,Wall Blake,,
ALARG,AL,ARG,Argyrokastro,40.07,20.13
ALBQE,AL,BQE,Bulqizë,41.29,20.13
ALBRT,AL,BRT,Berat,40.43,19.57
ALBUT,AL,BUT,Butrint,39.45,20.01
ALDRZ,AL,DRZ,Durrës,41.31,19.44
ALFIE,AL,FIE,Fier,40.44,19.34
ALFUS,AL,FUS,Fushe Arrez,42.03,20.01
ALGOK,AL,GOK,Gjirokastër,40.05,20.09
ALHMR,AL,HMR,Himare,40.08,19.43
ALKKU,AL,KKU,Kukës,42.05,20.25
ALKRC,AL,KRC,Korçë,40.37,20.46
ALLUS,AL,LUS,Lushnjë,40.56,19.42
ALLZE,AL,LZE,Lezhe,41.47,19.38
ALMBR,AL,MBR,Mbreshtan,40.42,19.52
ALMIL,AL,MIL,Milot,41.4,19.43
ALNPP,AL,NPP,Elbasan,41.06,20.04
ALSAR,AL,SAR,Sarandë,39.53,20
ALSHG,AL,SHG,Shëngjin,41.48,19.34
ALSHK,AL,SHK,Shkoder,42.04,19.31
ALSHZ,AL,SHZ,Shkozet,41.62,19.34
ALTEN,AL,TEN,Tenes,,
ALTIA,AL,TIA,Tirana,41.32,19.81
ALVOA,AL,VOA,Vlorë,40.28,19.29
ALVOR,AL,VOR,Vore,41.23,19.39
AMA3A,AM,A3A,Aparan,40.35,44.21
AMABO,AM,ABO,Abovyan,40.16,44.47
AMAHU,AM,AHU,Akhuryan,40.77,43.89
AMARA,AM,ARA,Ararat,39.5,44.41
AMARG,AM,ARG,Aragatsotn,40.15,44.1
AMARM,AM,ARM,Masis,40.01,44.29
AMARV,AM,ARV,Armavir,40.09,44.01
AMASH,AM,ASH,Ashtarak,40.18,44.21
AMBRD,AM,BRD,Berd,40.52,45.23
AMBYU,AM,BYU,Byureghavan,40.18,44.35
AMDIL,AM,DIL,Dilijan,40.44,44.52
AMEVN,AM,EVN,Yerevan,40.11,44.31
AMEZN,AM,EZN,Ecmiadzin,40.09,44.17
AMGRS,AM,GRS,Goris,39.3,46.2
AMJER,AM,JER,Jermuk,39.83,45.67
AMKJN,AM,KJN,Kajaran,39.09,46.09
AMKPN,AM,KPN,Kapan,39.12,46.24
AMLWN,AM,LWN,Gyumri,40.48,43.5
AMRN4,AM,RN4,Rind,39.45,45.1
AMSPI,AM,SPI,Spitak,40.5,44.16
AMVED,AM,VED,Vedi,39.54,44.43
AMVZR,AM,VZR,Vanadzor,40.48,44.28
AOANL,AO,ANL,Andulo,-11.48,16.69
AOARO,AO,ARO,Armada Olombendo FPSO,-6.04,11.21
AOARZ,AO,ARZ,N'Zeto,-7.23,12.86
AOAZZ,AO,AZZ,Ambriz,-7.84,13.1
AOBAB,AO,BAB,Baba,-14.5,12.14
AOBDD,AO,BDD,Barra do Dande,-8.47,13.36
AOBDT,AO,BDT,Baía dos Tigres,-16.36,11.44
AOBEL,AO,BEL,Belas,-8.55,13.1
